date,lat,long,num_pickups
7/2/2009,41.366138,-73.137393,596
5/28/2009,41.366138,-73.137393,596
4/11/2009,41.366138,-73.137393,594
5/21/2009,41.366138,-73.137393,591
5/7/2009,41.366138,-73.137393,591
8/19/2009,41.366138,-73.137393,591
3/10/2009,41.366138,-73.137393,590
5/14/2009,41.366138,-73.137393,590
3/12/2009,41.366138,-73.137393,588
4/14/2009,41.366138,-73.137393,588
2/17/2009,41.366138,-73.137393,584
1/25/2009,41.366138,-73.137393,584
1/19/2009,41.366138,-73.137393,583
5/15/2009,41.366138,-73.137393,582
6/10/2009,41.366138,-73.137393,582
5/2/2009,41.366138,-73.137393,581
7/20/2009,41.366138,-73.137393,580
2/11/2009,41.366138,-73.137393,579
6/5/2009,41.366138,-73.137393,579
4/20/2009,41.366138,-73.137393,578
7/16/2009,41.366138,-73.137393,577
6/8/2009,41.366138,-73.137393,577
6/13/2009,41.366138,-73.137393,577
3/30/2009,41.366138,-73.137393,577
2/6/2009,41.366138,-73.137393,577
3/25/2009,41.366138,-73.137393,577
12/27/2009,41.366138,-73.137393,576
2/21/2009,41.366138,-73.137393,575
7/22/2009,41.366138,-73.137393,575
6/1/2009,41.366138,-73.137393,574
11/26/2009,41.366138,-73.137393,574
3/11/2009,41.366138,-73.137393,573
4/15/2009,41.366138,-73.137393,570
1/26/2009,41.366138,-73.137393,569
3/21/2009,41.366138,-73.137393,569
8/17/2009,41.366138,-73.137393,569
5/27/2009,41.366138,-73.137393,567
4/13/2009,41.366138,-73.137393,567
7/7/2009,41.366138,-73.137393,566
8/1/2009,41.366138,-73.137393,565
7/13/2009,41.366138,-73.137393,564
7/25/2009,41.366138,-73.137393,564
8/29/2009,41.366138,-73.137393,563
6/20/2009,41.366138,-73.137393,562
1/18/2009,41.366138,-73.137393,561
5/5/2009,41.366138,-73.137393,560
1/28/2009,41.366138,-73.137393,559
7/8/2009,41.366138,-73.137393,559
9/4/2009,41.366138,-73.137393,550
5/13/2009,41.366138,-73.137393,549
5/4/2009,41.366138,-73.137393,549
1/29/2009,41.366138,-73.137393,547
12/26/2009,41.366138,-73.137393,547
6/16/2009,41.366138,-73.137393,545
2/28/2009,41.366138,-73.137393,537
6/30/2009,41.366138,-73.137393,537
2/23/2009,41.366138,-73.137393,537
5/19/2009,41.366138,-73.137393,537
5/12/2009,41.366138,-73.137393,534
2/25/2009,41.366138,-73.137393,533
5/22/2009,41.366138,-73.137393,533
3/9/2009,41.366138,-73.137393,532
